Symbol,Final Price,Mean Price
A,37.77,39.119
ABBV,60.35,63.915
ACE,107.96,111.7315
ACN,84.03,88.0605
ADBE,70.13,71.5615
ADI,52.1,53.938
ADM,46.63,48.3895
ADP,82.53,84.439
ADSK,54.0,57.159
AES,12.22,12.951
AFL,57.08,58.5175
AIG,48.87,51.939
AIZ,63.51,65.4085
AKAM,58.16,60.38
ALTR,32.92,35.058
AMAT,22.84,23.771
AME,47.9,49.595
AMGN,152.26,156.777
AON,90.05,93.6925
AVP,7.74,8.1235
AXP,80.69,86.789
BAC,15.15,16.1425
BBT,35.29,36.472
BBY,35.2,36.6405
BDX,138.08,141.976
BEN,51.53,52.859
BK,36.0,37.8775
BLK,340.51,349.1425
BLL,63.33,65.2935
BRK-B,143.91,148.083
C,46.95,49.388
CAG,35.43,36.161
CAT,79.97,85.2345
CB,97.9,102.1675
CBG,32.34,33.527
CCE,42.1,43.344
CCL,43.96,45.7345
CHRW,71.22,72.728
CMA,41.5,42.429
CMCSA,53.14,55.855
CMI,139.46,143.25
CNX,28.95,30.802
COF,73.21,77.804
COG,26.5,28.6195
CRM,56.45,57.654
CSC,60.68,62.898
CSCO,26.36,27.5675
CSX,33.3,34.305
CTL,37.17,38.5695
CVC,18.92,19.61
CVX,102.53,106.69
DD,71.21,73.245
DFS,54.38,60.091
DIS,90.96,93.8435
DISCA,28.98,30.7595
DO,31.53,32.7205
EBAY,53.0,54.874
EL,70.59,73.7305
EMC,25.93,28.2125
EMR,56.94,59.578
ESRX,80.71,83.9395
ESV,28.04,28.715
ETN,63.09,65.3425
EW,125.35,129.8745
EXC,36.04,36.9495
FAST,44.4,45.6555
FCX,16.81,20.2855
FDX,169.11,173.8715
FFIV,111.62,122.6895
FITB,17.3,18.323
FLR,53.59,55.631
FLS,54.49,56.191
FOSL,97.8,101.7975
FOXA,33.16,34.9495
FTI,37.48,40.2975
GD,133.21,137.652
GM,32.62,34.264
GMCR,122.56,130.856
GNW,6.98,7.492
GPC,92.94,98.7885
GS,172.41,181.59
GT,24.24,26.182
GWW,235.84,242.5815
HCBK,8.97,9.3475
HES,67.49,69.78
HIG,38.9,40.163
HOG,61.7,64.0915
HOT,71.97,74.71
HP,59.56,62.0255
HPQ,36.13,39.022
HRS,67.13,68.7935
HST,22.89,23.7335
HSY,102.21,106.932
ICE,205.73,212.719
INTC,33.04,35.804
ISRG,494.48,519.449
JBL,20.61,21.044
JEC,38.1,40.3745
JNJ,100.14,103.2925
JPM,54.38,57.493
K,65.58,67.1005
KLAC,61.47,66.7925
KMB,107.96,114.3895
KMX,62.1,63.9925
KO,41.17,42.66
L,38.26,39.608
LEG,42.63,43.817
LLL,123.12,125.9035
LNC,49.98,52.831
LRCX,76.44,78.667
MAR,74.5,77.1025
MAT,26.9,28.313
MCO,91.33,93.5855
MDLZ,35.24,36.623
MET,46.5,49.551
MKC,71.39,73.811
MMC,53.77,56.1705
MRK,60.28,61.683
MS,33.81,35.645
MSFT,40.4,45.5135
MSI,62.41,64.5315
MTB,113.16,116.9425
MU,29.26,31.1135
MUR,44.91,46.855
MYL,53.15,55.1835
NAVI,19.74,20.176
NDAQ,45.6,46.69
NKE,92.25,94.5095
NOV,54.43,58.856
NRG,24.66,25.9255
NTAP,37.8,39.2205
NUE,43.65,45.3665
NVDA,19.2,19.846
OI,23.35,24.25
OMC,72.8,74.319
ORCL,41.89,43.339
PAYX,45.26,47.0675
PBCT,14.07,14.468
PCAR,60.11,64.963
PCLN,1009.48,1044.263
PCP,200.1,216.7165
PEP,93.78,96.3955
PFE,31.25,32.2615
PFG,46.93,49.1325
PG,84.29,89.3795
PGR,25.95,26.583
PH,116.46,122.3265
PHM,20.59,21.395
PLL,96.76,99.9965
PM,80.24,82.3895
PNR,61.81,64.3455
PRGO,151.74,161.305
PRU,75.88,82.2045
PVH,110.26,115.0795
PX,120.59,125.1965
QCOM,62.46,71.742
R,82.79,88.7325
RF,8.7,9.3115
RHT,63.79,66.481
RL,166.89,172.2925
ROST,45.86,46.947
RRC,46.27,48.991
RSG,39.68,40.509
RTN,100.05,106.118
SCHW,25.98,27.6015
SEE,40.5,41.64
SNDK,75.91,84.4225
SNI,71.09,73.3515
STT,71.51,74.3585
STX,56.44,62.744
SYK,91.05,93.0555
SYMC,24.77,25.545
SYY,39.17,40.2915
TGT,73.61,75.159
THC,42.28,46.3085
TIF,86.64,93.4545
TMK,50.07,51.877
TRIP,67.01,70.201
TROW,78.72,82.198
TRV,102.82,105.351
TSN,39.04,40.1485
TWC,136.13,144.3995
TWX,77.93,82.0735
UHS,102.53,107.885
UNM,31.06,32.3345
UPS,98.84,107.256
URI,82.85,87.784
VFC,69.37,72.6945
VIAB,64.42,69.3235
VNO,110.44,118.17
VRSN,54.48,56.0105
VRTX,110.14,121.2625
VZ,45.71,46.979
WDC,97.23,105.878
WIN,47.7,49.419
WMT,84.98,87.6095
WU,17.0,17.4745
XL,34.49,35.194
XLNX,38.58,41.027
XOM,87.42,90.5255
XRAY,50.02,51.211
XRX,13.17,13.577
XYL,34.1,35.0685
YHOO,43.99,47.981
ZION,23.96,25.339
ZMH,112.1,116.3965
